Age,Gender,Education,Income Level,Emp Experience,Home Ownership,Loan Amount,Loan Intent,Interest Rate,Credit Score
22,female,Master,72000,0,Rent,35000,Personal,16.02,561
21,female,High School,12000,0,Own,1000,Education,11.14,504
25,female,High School,12000,3,Mortgage,5500,Medical,12.87,635
23,female,Bachelor,80000,0,Rent,35000,Medical,15.23,675
24,male,Master,66000,1,Rent,35000,Medical,14.27,586
21,female,High School,13000,0,Own,2500,Venture,7.14,532
26,female,Bachelor,93000,1,Rent,35000,Education,12.42,701
24,female,High School,96000,5,Rent,35000,Medical,11.11,585
24,female,Associate,101000,3,Rent,35000,Personal,8.9,544
21,female,High School,13000,0,Own,1600,Venture,14.74,640
22,female,High School,103000,0,Rent,35000,Venture,10.37,621
21,female,Associate,13000,0,Own,4500,Home Renovate,8.63,651
23,male,Bachelor,115000,3,Rent,35000,Venture,7.9,573
26,male,Master,131000,0,Rent,35000,Education,18.39,708
23,female,Associate,139000,0,Rent,35000,Education,7.9,583
23,female,Master,601000,5,Mortgage,30000,Debt Settlement,10.65,670
23,male,Bachelor,145000,0,Rent,35000,Education,7.9,663
23,female,High School,111000,0,Rent,35000,Medical,20,694
23,male,Bachelor,137000,0,Rent,35000,Debt Settlement,18.25,709
24,female,Master,14000,1,Mortgage,1750,Education,10.99,679
25,male,Bachelor,196000,0,Rent,35000,Venture,7.49,684
25,male,High School,166000,4,Rent,34800,Personal,16.77,662
22,female,Master,79000,0,Rent,34000,Education,17.58,691
24,female,Bachelor,14000,0,Own,1500,Personal,7.29,600
22,male,Bachelor,97000,1,Rent,33950,Personal,14.54,691
24,female,High School,82000,0,Rent,33000,Home Renovate,12.68,654
21,female,Associate,14000,0,Mortgage,4575,Venture,17.74,626
23,male,High School,14000,0,Own,1400,Personal,9.32,607
24,female,Bachelor,79000,1,Rent,32500,Home Renovate,9.99,700
21,female,Bachelor,15000,0,OTHER,4000,Education,12.84,553
21,male,High School,15000,0,Own,2000,Medical,11.12,589
25,male,Bachelor,145000,1,Rent,32000,Venture,6.62,586
26,male,Bachelor,115000,2,Rent,31050,Home Renovate,14.17,681
25,female,High School,368000,3,Rent,24250,Debt Settlement,13.85,567
26,female,Associate,361000,1,Mortgage,7800,Medical,13.49,669
21,male,Associate,15000,0,Own,2500,Education,7.51,600
22,female,Bachelor,59000,0,Rent,30000,Education,18.39,606
24,male,High School,78000,3,Rent,30000,Debt Settlement,14.54,582
25,male,Bachelor,91000,4,Rent,30000,Home Renovate,16.89,649
23,female,High School,87000,0,Rent,30000,Debt Settlement,11.01,602
26,male,Bachelor,76000,5,Rent,30000,Medical,17.99,616
24,female,High School,15000,0,Own,2500,Venture,12.69,631
26,male,Bachelor,361000,5,Mortgage,20000,Venture,7.88,684
23,male,High School,362000,0,Own,24250,Education,19.41,637
26,male,Master,361000,5,Own,10000,Home Renovate,10.38,649
26,male,Bachelor,361000,5,Mortgage,25000,Education,15.33,695
25,female,Bachelor,361000,2,Mortgage,18000,Home Renovate,16.45,620
26,male,Bachelor,98000,2,Rent,30000,Personal,7.49,622
22,female,High School,81000,0,Rent,30000,Medical,12.69,645
26,male,Master,108000,2,Rent,30000,Debt Settlement,6.62,654
24,female,Bachelor,95000,2,Rent,30000,Debt Settlement,11.01,624
23,male,High School,95000,1,Rent,30000,Debt Settlement,18.62,570
23,male,Bachelor,111000,3,Rent,30000,Personal,15.23,648
23,female,Associate,117000,0,Rent,30000,Venture,10.65,652
25,male,Bachelor,145000,3,Rent,30000,Education,7.9,559
26,male,High School,337000,7,Rent,10000,Personal,15.96,623
26,male,Associate,334000,2,Rent,20000,Venture,11.48,602
23,male,Bachelor,333000,1,Own,35000,Personal,11.01,609
25,male,Master,155000,1,Rent,30000,Personal,7.29,573
24,male,Associate,15000,1,Own,1750,Venture,11.01,631
21,female,Bachelor,158000,0,Rent,30000,Venture,5.99,623
22,female,Bachelor,331000,0,Own,12000,Venture,11.58,602
26,female,High School,316000,6,Mortgage,10000,Education,11.01,579
25,female,Associate,268000,0,Mortgage,25000,Medical,15.7,582
22,male,Master,85000,0,Rent,29100,Education,15.99,700
22,male,Associate,15000,0,Mortgage,1500,Education,14.84,688
26,male,Bachelor,313000,3,Own,28000,Home Renovate,10.99,607
25,female,Bachelor,312000,0,Mortgage,20000,Home Renovate,14.42,661
24,male,High School,307000,5,Mortgage,9600,Education,6.99,562
25,female,Bachelor,301000,0,Rent,25000,Medical,13.49,664
25,male,High School,15000,1,Own,3000,Medical,11.01,564
22,male,Associate,69000,0,Rent,28000,Medical,11.01,598
21,female,High School,15000,0,Own,3000,Education,13.61,557
23,female,Associate,79000,0,Rent,28000,Education,7.9,677
26,male,Bachelor,103000,4,Rent,28000,Venture,7.49,690
26,male,Associate,15000,1,Own,6100,Education,7.51,599
22,male,High School,107000,0,Rent,28000,Venture,9.91,604
21,female,Bachelor,15000,0,Own,4200,Personal,13.48,663
22,male,Bachelor,15000,3,Own,4750,Debt Settlement,7.14,601
24,male,High School,100000,1,Rent,28000,Venture,15.99,634
24,male,Bachelor,301000,2,Rent,18000,Education,12.98,671
144,male,Bachelor,301000,125,Rent,4800,Venture,13.57,789
25,female,Bachelor,121000,1,Rent,28000,Debt Settlement,12.69,622
26,male,Associate,133000,1,Rent,28000,Education,8.9,538
26,male,Bachelor,16000,0,Own,2700,Debt Settlement,11.01,587
22,male,Master,131000,0,Rent,28000,Education,11.01,683
23,male,Associate,182000,0,Rent,28000,Debt Settlement,11.11,634
24,female,Bachelor,84000,3,Rent,27600,Home Renovate,11.01,690
21,female,Bachelor,15000,0,Mortgage,3250,Debt Settlement,15.68,518
22,female,Bachelor,85000,0,Rent,27500,Education,13.06,583
22,male,Associate,289000,2,Own,25000,Personal,11.01,617
26,male,Associate,89000,4,Rent,27050,Venture,15.62,668
24,male,Master,101000,2,Rent,27000,Personal,13.49,673
24,male,High School,89000,3,Rent,27000,Venture,11.01,706
23,female,High School,76000,1,Rent,26000,Medical,11.71,536
23,male,Associate,145000,0,Rent,25600,Education,12.69,557
24,female,Bachelor,16000,1,Own,1600,Medical,13.57,689
22,male,Bachelor,73000,3,Rent,25475,Venture,10.99,681
25,male,Master,282000,4,Mortgage,20000,Medical,14.27,623
24,female,Associate,282000,0,Own,20000,Home Renovate,8.88,595
26,male,Bachelor,282000,1,Mortgage,21600,Home Renovate,12.18,584
25,male,Bachelor,266000,4,Mortgage,11900,Debt Settlement,14.42,669
26,male,High School,280000,3,Mortgage,25000,Medical,14.17,642
25,female,High School,277000,4,Mortgage,35000,Medical,13.99,622
23,male,Associate,101000,0,Rent,25300,Education,10.99,689
22,male,High School,16000,1,Mortgage,2000,Personal,5.42,614
25,female,Bachelor,16000,2,Own,1750,Personal,13.61,597
21,female,Bachelor,52000,3,Rent,25000,Education,12.73,673
24,male,Associate,50000,3,Rent,25000,Home Renovate,11.01,625
25,male,High School,16000,0,Own,3000,Debt Settlement,12.87,603
24,male,Bachelor,17000,0,Mortgage,3650,Home Renovate,9.91,589
